Hole no.,Date ,Block,E/W,N/S,ELEV,%Ni,%Fe,%Co
4711_T3,14-Oct-99,F061,E075,S050,178.26,,,
3638_T3,23-Sep-98,E051,E075,S050,431.17,,,
3758_T3,05-Nov-98,D051,E100,S050,474.83,,,
4678_T3,13-Oct-99,F061,E100,S050,189.09,,,
2254_T3,14-Jan-97,E051,E100,S050,247.67,,,
478_T3_06,5-Apr-06,C051,E100,S050,339.32,,,
4425_T3,13-Aug-99,F051,E125,S050,229.65,,,
2153_T3,18-Oct-96,F061,E125,S050,240.34,,,
2232_T3,29-Nov-96,E051,E125,S050,221.2,,,
3734_T3,30-Oct-98,D051,E125,S050,475.04,,,
4028_T3,12-May-99,F051,E150,S050,499.81,,,
2074_T3,18-Sep-96,E051,E150,S050,219.89,,,
1887_T3,22-Jul-96,F061,E150,S050,315.05,,,
464_T3_06,28-Mar-06,C051,E150,S050,351.66,,,
3730_T3,29-Oct-98,D051,E150,S050,413.6,,,
3674_T3,02-Oct-98,D051,E175,S050,433.11,,,
2129_T3,11-Oct-96,F061,E175,S050,231.14,,,
4046_T3,13-May-99,F051,E175,S050,429.85,,,
2239_T3,17-Jan-97,E051,E175,S050,224.8,,,
4053_T3,13-May-99,F051,E200,S050,483.66,,,
3698_T3,13-Oct-98,D051,E200,S050,473.35,,,
2138_T3,14-Oct-96,E051,E200,S050,223.37,,,
1888_T3,20-Jul-96,F061,E200,S050,304.16,,,
465_T3_06,28-Mar-06,C051,E200,S050,353.6,,,
4135_T3,03-Jun-99,F051,E225,S050,428.53,,,
3710_T3,06-Oct-98,D051,E225,S050,473.37,,,
2137_T3,16-Oct-96,F061,E225,S050,254.4,,,
2311_T3,26-May-97,E051,E225,S050,219.3,,,
2126_T3,11-Oct-96,E051,E250,S050,216.12,,,
1891_T3,16-Jul-96,F061,E250,S050,284.3,,,
4207_T3,28-Jun-99,F051,E250,S050,406.1,,,
481_T3_06,6-Apr-06,C051,E250,S050,348.46,,,
4219_T3,29-Jun-99,F051,E275,S050,403.01,,,
2322_T3,29-May-97,E051,E275,S050,223.78,,,
1899_T3,30-Jul-96,F061,E275,S050,229.74,,,
1886_T3,16-Jul-96,F062,E300,S050,320.24,,,
2066_T3,17-Sep-96,E052,E300,S050,217.46,,,
3493_T3,20-Aug-98,F052,E300,S050,383.01,,,
477_T3_06,4-Apr-06,C052,E300,S050,343.96,,,
2367_T3,01-Jun-97,E052,E325,S050,217.35,,,
1892_T3,17-Jul-96,F062,E325,S050,331.9,,,
3499_T3,20-Aug-98,F052,E325,S050,207.05,,,
471_T3_06,1-Apr-06,C052,E350,S050,317.27,,,
2059_T3,14-Sep-96,E052,E350,S050,248.58,,,
3488_T3,19-Aug-98,F052,E350,S050,207.67,,,
1898_T3,20-Jul-96,F062,E350,S050,243.69,,,
2360_T3,04-Jun-97,E052,E375,S050,222.91,,,
2166_T3,16-Oct-96,F062,E375,S050,226.54,,,
3484_T3,17-Aug-98,F052,E375,S050,203.36,,,
473_T3_06,1-Apr-06,C052,E400,S050,311.47,,,
3383_T3,15-Jul-98,F062,E400,S050,359.36,,,
2640_T3,20-Aug-97,E052,E400,S050,129.9,,,
3110_T3,28-Mar-98,F052,E400,S050,343.31,,,
3375_T3,14-Jul-98,F062,E425,S050,337.32,,,
2652_T3,22-Aug-97,E052,E425,S050,137.86,,,
3135_T3,23-Mar-98,F052,E425,S050,367.82,,,
3339_T3,02-Jul-98,F062,E450,S050,349.45,,,
2657_T3,09-Aug-97,E052,E450,S050,273.57,,,
3095_T3,24-Mar-98,F052,E450,S050,343,,,
474_T3_06,3-Apr-06,C052,E450,S050,307.38,,,
5673_T3,07-Jul-00,F062,E475,S050,117.55,,,
2663_T3,12-Aug-97,E052,E475,S050,279.32,,,
3083_T3,18-Mar-98,F052,E475,S050,400.07,,,
2630_T3,07-Aug-97,E052,E500,S050,325,,,
3476_T3,13-Aug-98,F052,E500,S050,194.8,,,
497_T3_06,21-Apr-06,C052,E500,S050,307.63,,,
5652_T3,29-Jun-00,F062,E500,S050,99.6,,,
5593_T3,14-Jun-00,F062,E525,S050,105.84,,,
3486_T3,17-Aug-98,F052,E525,S050,233.86,,,
5524_T3,05-Jun-00,F062,E550,S050,135.4,,,
3489_T3,18-Aug-98,F052,E550,S050,227.15,,,
2158_T3,19-Oct-96,D042,E550,S050,231.97,,,
502_T3_06,26-Apr-06,C052,E550,S050,303.68,,,
3454_T3,06-Aug-98,F052,E575,S050,342.18,,,
4301_T3,12-Jul-99,D042,E575,S050,333.46,,,
4309_T3,16-Jul-99,F053,E600,S050,351.45,,,
2168_T3,21-Oct-96,D043,E600,S050,213.55,,,
516_T3_06,9-May-06,C053,E600,S050,255.56,,,
4287_T3,13-Jul-99,D043,E625,S050,340.69,,,
4315_T3,17-Jul-99,F053,E625,S050,332.71,,,
4327_T3,20-Jul-99,F053,E650,S050,195.57,,,
2157_T3,21-Oct-96,D043,E650,S050,226.36,,,
833_T3,11-Jan-93,D033,E675,S050,217.34,,,
4326_T3,19-Jul-99,F053,E675,S050,298.1,,,
4354_T3,28-Jul-99,D043,E675,S050,341.61,,,
4336_T3,26-Jul-99,F053,E700,S050,390.81,,,
3801_T3,26-Nov-98,D043,E700,S050,471.07,,,
4458_T3,01-Sep-99,F053,E725,S050,214.69,,,
3798_T3,25-Nov-98,D043,E725,S050,458.45,,,
4464_T3,01-Sep-99,F053,E750,S050,226.48,,,
3587_T3,10-Sep-98,D043,E750,S050,253.3,,,
2537_T3,15-Jul-97,E043,E750,S050,258.93,,,
3597_T3,12-Sep-98,D043,E775,S050,453.36,,,
2498_T3,14-Jul-97,E043,E775,S050,217.68,,,
2486_T3,12-Jul-97,E043,E800,S050,208.81,,,
3603_T3,14-Sep-98,D043,E800,S050,443.81,,,
412_T3_06,22-Feb-06,F053,E800,S050,355.44,,,
2462_T3,08-Jul-97,E043,E825,S050,203.8,,,
3637_T3,23-Sep-98,D043,E825,S050,438.2,,,
2071_T3,18-Sep-96,E043,E850,S050,227.94,,,
413_T3_06,22-Feb-06,F053,E850,S050,348.91,,,
3643_T3,25-Sep-98,D043,E850,S050,446.02,,,
2432_T3,02-Jul-97,E043,E875,S050,309.68,,,
3649_T3,26-Sep-98,D043,E875,S050,441.36,,,
3208_T3,18-May-98,D051,E000,S075,402.6,,,
3541_T3,31-Aug-98,E051,E000,S075,315.28,,,
3577_T3,07-Sep-98,E051,E025,S075,278.06,,,
3219_T3,22-May-98,D051,E025,S075,386.48,,,
3203_T3,20-May-98,D051,E050,S075,334.52,,,
3633_T3,22-Sep-98,E051,E050,S075,420.21,,,
2203_T3,13-Nov-96,E051,E075,S075,215.24,,,
5738_T3,18-Jul-00,F061,E075,S075,133.75,,,
3211_T3,19-May-98,D051,E075,S075,380.11,,,
3201_T3,07-May-98,D051,E100,S075,396.4,,,
4712_T3,15-Oct-99,F061,E100,S075,170.56,,,
2226_T3,27-Nov-96,E051,E100,S075,249.14,,,
3206_T3,08-May-98,D051,E125,S075,392.9,,,
4419_T3,12-Aug-99,F051,E125,S075,243.78,,,
2149_T3,17-Oct-96,F061,E125,S075,248.69,,,
2220_T3,25-Nov-96,E051,E125,S075,247.94,,,
4387_T3,06-Aug-99,F051,E150,S075,157.43,,,
2147_T3,15-Oct-96,F061,E150,S075,215,,,
2261_T3,16-Jan-97,E051,E150,S075,221.97,,,
3808_T3,28-Nov-98,D051,E150,S075,449.27,,,
3671_T3,01-Oct-98,D051,E175,S075,446.68,,,
4038_T3,11-May-99,F051,E175,S075,440.14,,,
2135_T3,11-Oct-96,F061,E175,S075,202.04,,,
2225_T3,12-Nov-96,E051,E175,S075,245.55,,,
2161_T3,10-Oct-96,F061,E200,S075,237.65,,,
2231_T3,14-Nov-96,E051,E200,S075,205.85,,,
3701_T3,14-Oct-98,D051,E200,S075,422.25,,,
3946_T3,20-Mar-99,F051,E200,S075,482.47,,,
4143_T3,04-Jun-99,F051,E225,S075,432.31,,,
3707_T3,15-Oct-98,D051,E225,S075,420.08,,,
2155_T3,17-Oct-96,F061,E225,S075,251.8,,,
2305_T3,22-May-97,E051,E225,S075,217.4,,,
2310_T3,25-May-97,E051,E250,S075,220.4,,,
2179_T3,26-Oct-96,F061,E250,S075,233.41,,,
4225_T3,30-Jun-99,F051,E250,S075,401.79,,,
3141_T3,17-Apr-98,E051,E275,S075,317.86,,,
2185_T3,31-Oct-96,F061,E275,S075,214.58,,,
3145_T3,20-Apr-98,E052,E300,S075,409.13,,,
3502_T3,21-Aug-98,F052,E300,S075,345.99,,,
2178_T3,22-Oct-96,F062,E300,S075,238.18,,,
2172_T3,19-Oct-96,F062,E325,S075,220.48,,,
2312_T3,21-May-97,E052,E325,S075,218.52,,,
3507_T3,22-Aug-98,F052,E325,S075,208.11,,,
2152_T3,18-Oct-96,F062,E350,S075,241.28,,,
2318_T3,23-May-97,E052,E350,S075,236.72,,,
3512_T3,25-Aug-98,F051,E350,S075,222.66,,,
2354_T3,03-Jun-97,E052,E375,S075,214.65,,,
3480_T3,14-Aug-98,F052,E375,S075,222.87,,,
2143_T3,17-Oct-96,F062,E375,S075,236.92,,,
3056_T3,01-Feb-98,F052,E400,S075,140.9,,,
3382_T3,15-Jul-98,F062,E400,S075,324.16,,,
2634_T3,18-Aug-97,E052,E400,S075,380.91,,,
3309_T3,17-Jun-98,E052,E425,S075,405.12,,,
3144_T3,20-Apr-98,F052,E425,S075,418.74,,,
3330_T3,25-Jun-98,F062,E425,S075,327.32,,,
3337_T3,01-Jul-98,F062,E450,S075,338.04,,,
3142_T3,17-Apr-98,F052,E450,S075,422.45,,,
5672_T3,06-Jul-00,F062,E475,S075,117.89,,,
3101_T3,26-Mar-98,F052,E475,S075,449.38,,,
3461_T3,11-Aug-98,F052,E500,S075,204.08,,,
5595_T3,27-Jun-00,F062,E500,S075,115.44,,,
3481_T3,14-Aug-98,F052,E525,S075,225.36,,,
5594_T3,27-Jun-00,F062,E525,S075,134.24,,,
4359_T3,02-Aug-99,D042,E550,S075,282.11,,,
3527_T3,27-Aug-98,F052,E550,S075,237.23,,,
4358_T3,02-Aug-99,D042,E575,S075,232.84,,,
3459_T3,08-Aug-98,F052,E575,S075,315.4,,,
4296_T3,15-Jul-99,F053,E600,S075,315.61,,,
2170_T3,23-Oct-96,D043,E600,S075,231.32,,,
4321_T3,19-Jul-99,F053,E625,S075,135.33,,,
2174_T3,22-Oct-96,D043,E625,S075,214.55,,,
4320_T3,17-Jul-99,F053,E650,S075,306.37,,,
4240_T3,30-Jun-99,D043,E650,S075,397.47,,,
4308_T3,15-Jul-99,F053,E675,S075,355.8,,,
4337_T3,22-Jul-99,D043,E675,S075,160.58,,,
4403_T3,09-Aug-99,D043,E700,S075,248.94,,,
4305_T3,15-Jul-99,F053,E700,S075,309.49,,,
4470_T3,02-Sep-99,F053,E725,S075,165.38,,,
3804_T3,26-Nov-98,D043,E725,S075,451,,,
4476_T3,04-Sep-99,F053,E750,S075,162.07,,,
3585_T3,09-Sep-98,D043,E750,S075,281.07,,,
2531_T3,14-Jul-97,E043,E750,S075,256.53,,,
2504_T3,15-Jul-97,E043,E775,S075,215.04,,,
3630_T3,21-Sep-98,D043,E775,S075,424.43,,,
542_T3_06,29-May-06,F053,E775,S075,293.7,,,
4417_T3,12-Aug-99,F053,E800,S075,246.24,,,
2492_T3,14-Jul-97,E043,E800,S075,330.59,,,
3635_T3,22-Sep-98,D043,E800,S075,419.3,,,
3191_T3,06-May-98,D043,E825,S075,412.98,,,
2468_T3,09-Jul-97,E043,E825,S075,258.26,,,
2477_T3,05-Jul-97,E043,E850,S075,204.74,,,
3199_T3,06-May-98,D043,E850,S075,399.42,,,
2459_T3,03-Jul-97,E043,E875,S075,281.9,,,
3207_T3,08-May-98,D043,E875,S075,397.8,,,
3198_T3,08-May-98,D051,E000,S100,405.58,,,
557_T3_06,6-Jun-06,F061,E000,S100,249.27,,,
3197_T3,06-May-98,D051,E025,S100,389.06,,,
3578_T3,09-Sep-98,E051,E025,S100,286.08,,,
3190_T3,05-May-98,D051,E050,S100,412.68,,,
3627_T3,19-Sep-98,E051,E050,S100,422.58,,,
595_T3_06,3-Jul-06,F061,E050,S100,248.73,,,
3195_T3,07-May-98,D051,E075,S100,393.58,,,
2209_T3,16-Nov-96,E051,E075,S100,221.46,,,
5737_T3,18-Jul-00,F061,E075,S100,119.04,,,
3204_T3,08-May-98,D051,E100,S100,409.43,,,
3150_T3,22-Apr-98,E051,E100,S100,423.2,,,
4744_T3,23-Oct-99,F061,E100,S100,131.79,,,
4413_T3,10-Aug-99,F051,E125,S100,230.77,,,
2214_T3,13-Nov-96,E051,E125,S100,228.61,,,
3209_T3,18-May-98,D051,E125,S100,410.16,,,
4743_T3,20-Oct-99,F061,E125,S100,168.95,,,
4396_T3,07-Aug-99,F051,E150,S100,182.26,,,
4677_T3,12-Oct-99,F061,E150,S100,175.98,,,
2255_T3,16-Jan-97,E051,E150,S100,219.23,,,
456_T3_06,22-Mar-06,C051,E150,S100,342.61,,,
3799_T3,25-Nov-98,D051,E150,S100,446.41,,,
3333_T3,01-Jul-98,F061,E175,S100,141.09,,,
3676_T3,13-Oct-98,E051,E175,S100,431.78,,,
3613_T3,17-Sep-98,D051,E175,S100,460.19,,,
3949_T3,31-Mar-99,F051,E175,S100,482.9,,,
3338_T3,02-Jul-98,F061,E200,S100,306.17,,,
3975_T3,14-Apr-99,F051,E200,S100,495.44,,,
450_T3_06,18-Mar-06,C051,E200,S100,317.62,,,
2237_T3,25-Nov-96,E051,E200,S100,206.83,,,
3664_T3,30-Sep-98,D051,E200,S100,466.08,,,
3347_T3,06-Jul-98,F061,E225,S100,298.01,,,
2299_T3,12-Mar-97,E051,E225,S100,217.65,,,
3618_T3,17-Sep-98,D051,E225,S100,433,,,
3942_T3,19-Mar-99,F051,E225,S100,485.51,,,
3351_T3,07-Jul-98,F061,E250,S100,310.62,,,
2050_T3,12-Sep-96,E051,E250,S100,225.65,,,
3943_T3,17-Mar-99,F051,E250,S100,468.85,,,
458_T3_06,24-Mar-06,C051,E250,S100,344.75,,,
3354_T3,07-Jul-98,F061,E275,S100,305.71,,,
2043_T3,10-Sep-96,E051,E275,S100,220.18,,,
3938_T3,17-Mar-99,F051,E275,S100,467.5,,,
VDH0384,21-Apr-88,E052,E300,S100,215.63,,,
3521_T3,26-Aug-98,F052,E300,S100,226.91,,,
466_T3_06,29-Mar-06,C052,E300,S100,352.2,,,
3000_T3,07-Feb-98,F052,E325,S100,120.93,,,
2037_T3,07-Sep-96,E052,E325,S100,250.6,,,
3380_T3,15-Jul-98,F062,E325,S100,343.29,,,
3026_T3,11-Feb-98,F052,E350,S100,113.83,,,
3381_T3,15-Jul-98,F062,E350,S100,372.76,,,
467_T3_06,29-Mar-06,C052,E350,S100,323.52,,,
2020_T3,31-Aug-96,E052,E350,S100,221.23,,,
2348_T3,02-Jun-97,E052,E375,S100,205.98,,,
3038_T3,19-Feb-98,F052,E375,S100,117.75,,,
6576_T3,20-Apr-01,F062,E375,S100,125.86,,,
3062_T3,07-Mar-98,F052,E400,S100,387.64,,,
2628_T3,16-Aug-97,E052,E400,S100,381.19,,,
3389_T3,16-Jul-98,F062,E400,S100,373.71,,,
468_T3_06,29-Mar-06,C052,E400,S100,323.69,,,
2550_T3,09-Aug-97,E052,E425,S100,283.15,,,
3355_T3,09-Jul-98,F062,E425,S100,357.68,,,
3112_T3,31-Mar-98,F052,E425,S100,390.17,,,
3139_T3,16-Apr-98,F052,E450,S100,426.66,,,
3323_T3,24-Jun-98,F062,E450,S100,340.28,,,
469_T3_06,30-Mar-06,C052,E450,S100,322.15,,,
3455_T3,07-Aug-98,F052,E475,S100,343.65,,,
7286_T3,18-Oct-01,F062,E475,S100,362.04,,,
7285_T3,17-Oct-01,F062,E500,S100,362.97,,,
3517_T3,25-Aug-98,F052,E500,S100,218.1,,,
484_T3_06,8-Apr-06,C052,E500,S100,351.27,,,
3520_T3,26-Aug-98,F052,E525,S100,223.86,,,
3467_T3,11-Aug-98,F052,E550,S100,356.64,,,
492_T3_06,20-Apr-06,C052,E550,S100,308.69,,,
2164_T3,22-Oct-96,D042,E550,S100,218.91,,,
3448_T3,05-Aug-98,F052,E575,S100,418.8,,,
2180_T3,23-Oct-96,D042,E575,S100,227.34,,,
4290_T3,14-Jul-99,F053,E600,S100,322.5,,,
618_T3_06,19-Jul-06,F063,E600,S100,237.57,,,
499_T3_06,22-Apr-06,C052,E600,S100,291.61,,,
VDH0368,29-Mar-88,D043,E600,S100,190.34,,,
4260_T3,07-Jul-99,F053,E625,S100,288.05,,,
2169_T3,23-Oct-96,D043,E625,S100,241.45,,,
4266_T3,08-Jul-99,F053,E650,S100,271.35,,,
620_T3_06,19-Jul-06,F063,E650,S100,229.87,,,
509_T3_06,2-May-06,C053,E650,S100,251.12,,,
2163_T3,22-Oct-96,D043,E650,S100,201.18,,,
4314_T3,16-Jul-99,F053,E675,S100,354.08,,,
4323_T3,19-Jul-99,D043,E675,S100,314.16,,,
4304_T3,14-Jul-99,F053,E700,S100,335.2,,,
622_T3_06,19-Jul-06,F063,E700,S100,231.73,,,
4237_T3,26-Jun-99,D043,E700,S100,280.3,,,
4491_T3,06-Sep-99,F053,E725,S100,157.46,,,
3807_T3,27-Nov-98,D043,E725,S100,454.1,,,
4482_T3,04-Sep-99,F053,E750,S100,221.77,,,
2525_T3,14-Jul-97,E043,E750,S100,295.95,,,
3607_T3,15-Sep-98,D043,E750,S100,444.21,,,
625_T3_06,22-Jul-06,F063,E750,S100,219.27,,,
2507_T3,11-Jul-97,E043,E775,S100,223.82,,,
4423_T3,13-Aug-99,F053,E775,S100,218.41,,,
3619_T3,17-Sep-98,D043,E775,S100,446.71,,,
4392_T3,03-Aug-99,F053,E800,S100,309.35,,,
2501_T3,11-Jul-97,E043,E800,S100,337.8,,,
3612_T3,16-Sep-98,D043,E800,S100,458.14,,,
624_T3_06,25-Jul-06,F063,E800,S100,219.05,,,
2483_T3,07-Jul-97,E043,E825,S100,223.03,,,
3220_T3,22-May-98,D043,E825,S100,408.15,,,
2471_T3,05-Jul-97,E043,E850,S100,254.42,,,
545_T3_06,1-Jun-06,F053,E850,S100,283.07,,,
3218_T3,21-May-98,D043,E850,S100,397.22,,,
626_T3_06,26-Jul-06,F063,E850,S100,231.89,,,
3205_T3,20-May-98,D043,E875,S100,418.88,,,
540_T3_06,29-May-06,E043,E875,S100,279.13,,,
3547_T3,02-Sep-98,E051,E000,S125,291.75,,,
830_T3,05-Jan-93,D051,E000,S125,193.75,,,
3582_T3,10-Sep-98,E051,E025,S125,292.64,,,
834_T3,12-Jan-93,D051,E025,S125,217.76,,,
838_T3,18-Jan-93,D051,E050,S125,213.08,,,
3617_T3,18-Sep-98,E051,E050,S125,459.83,,,
5736_T3,15-Jul-00,F061,E075,S125,129.88,,,
843_T3,21-Jan-93,D051,E075,S125,223.2,,,
2215_T3,26-Nov-96,E051,E075,S125,218.58,,,
3212_T3,19-May-98,D051,E100,S125,401.28,,,
2221_T3,28-Nov-96,E051,E100,S125,220.74,,,
4777_T3,28-Oct-99,F061,E100,S125,160.24,,,
4407_T3,10-Aug-99,F051,E125,S125,195.69,,,
2208_T3,12-Nov-96,E051,E125,S125,212.53,,,
4713_T3,15-Oct-99,F061,E125,S125,166.61,,,
3213_T3,20-May-98,D051,E125,S125,396.34,,,
3953_T3,06-Apr-99,F051,E150,S125,487.91,,,
4656_T3,11-Oct-99,F061,E150,S125,163.79,,,
3789_T3,20-Nov-98,D051,E150,S125,435.14,,,
2273_T3,22-Jan-97,E051,E150,S125,221.87,,,
3958_T3,07-Apr-99,F051,E175,S125,486.67,,,
3623_T3,18-Sep-98,D051,E175,S125,408.22,,,
4857_T3,19-Nov-99,F061,E175,S125,187,,,
2267_T3,20-Jan-97,E051,E175,S125,219.69,,,
3385_T3,15-Jul-98,F061,E200,S125,377.88,,,
3982_T3,24-Apr-99,F054,E200,S125,485.25,,,
2243_T3,27-Nov-96,E051,E200,S125,222.41,,,
3657_T3,29-Sep-98,D051,E200,S125,438.45,,,
4008_T3,03-May-99,F051,E225,S125,484.36,,,
2275_T3,10-Feb-97,E051,E225,S125,214.57,,,
3372_T3,11-Jul-98,F061,E225,S125,335.72,,,
3622_T3,18-Sep-98,D051,E225,S125,458.72,,,
4402_T3,09-Aug-99,F051,E250,S125,218.97,,,
3370_T3,11-Jul-98,F061,E250,S125,337.56,,,
2256_T3,20-Jan-97,E051,E250,S125,248.22,,,
3369_T3,11-Jul-98,F061,E275,S125,369.32,,,
3947_T3,20-Mar-99,F051,E275,S125,488.44,,,
2304_T3,24-May-97,E051,E275,S125,218.13,,,
3570_T3,05-Sep-98,F052,E300,S125,267.36,,,
3366_T3,11-Jul-98,F062,E300,S125,326.94,,,
2008_T3,28-Aug-96,E052,E300,S125,240.43,,,
3020_T3,10-Feb-98,F052,E325,S125,124.43,,,
3384_T3,15-Jul-98,F062,E325,S125,376.54,,,
2330_T3,28-May-97,E052,E325,S125,208.24,,,
3032_T3,16-Feb-98,F052,E350,S125,115.71,,,
3390_T3,16-Jul-98,F062,E350,S125,374.5,,,
2324_T3,26-May-97,E052,E350,S125,229.8,,,
3367_T3,10-Jul-98,F062,E375,S125,357.38,,,
3044_T3,21-Feb-98,F052,E375,S125,375.19,,,
2342_T3,31-May-97,E052,E375,S125,221.26,,,
3068_T3,14-Mar-98,F052,E400,S125,364,,,
2622_T3,15-Aug-97,E052,E400,S125,333.86,,,
2616_T3,14-Aug-97,E052,E425,S125,272.91,,,
3098_T3,26-Mar-98,F052,E425,S125,360.55,,,
3132_T3,14-Apr-98,F052,E450,S125,436.33,,,
7291_T3,16-Oct-01,F062,E450,S125,363.64,,,
3447_T3,05-Aug-98,F052,E475,S125,425.16,,,
7287_T3,15-Oct-01,F062,E475,S125,340.17,,,
3449_T3,06-Aug-98,F052,E500,S125,413.9,,,
7288_T3,16-Oct-01,F062,E500,S125,342.51,,,
3474_T3,12-Aug-98,F052,E525,S125,194.88,,,
7289_T3,16-Oct-01,F062,E525,S125,331.5,,,
3450_T3,06-Aug-98,F052,E550,S125,423.54,,,
4357_T3,31-Jul-99,D042,E550,S125,376.79,,,
3477_T3,14-Aug-98,F052,E575,S125,369.06,,,
2186_T3,24-Oct-96,D042,E575,S125,223.35,,,
4284_T3,12-Jul-99,F053,E600,S125,236.06,,,
2175_T3,24-Oct-96,D043,E600,S125,218.49,,,
4254_T3,06-Jul-99,F053,E625,S125,293.61,,,
2171_T3,22-Oct-96,D043,E625,S125,233.76,,,
4265_T3,06-Jul-99,F053,E650,S125,287.95,,,
4238_T3,28-Jun-99,D043,E650,S125,410.17,,,
4259_T3,06-Jul-99,F053,E675,S125,285.94,,,
4236_T3,26-Jun-99,D043,E675,S125,414.15,,,
4295_T3,13-Jul-99,F053,E700,S125,321.67,,,
4311_T3,16-Jul-99,D043,E700,S125,151.01,,,
4517_T3,11-Sep-99,F053,E725,S125,160.9,,,
4239_T3,29-Jun-99,D043,E725,S125,396.6,,,
4511_T3,11-Sep-99,F053,E750,S125,155.09,,,
2519_T3,12-Jul-97,E043,E750,S125,337.46,,,
3867_T3,15-Jan-99,D043,E750,S125,430.71,,,
3873_T3,03-Feb-99,D043,E775,S125,451.58,,,
2513_T3,12-Jul-97,E043,E775,S125,290.33,,,
4445_T3,21-Aug-99,F053,E775,S125,205.22,,,
3877_T3,04-Feb-99,D043,E800,S125,449.65,,,
2495_T3,09-Jul-97,E043,E800,S125,275.48,,,
4437_T3,14-Aug-99,F053,E800,S125,238.81,,,
2489_T3,08-Jul-97,E043,E825,S125,284.4,,,
3224_T3,25-May-98,D043,E825,S125,417.94,,,
3175_T3,28-Apr-98,F053,E825,S125,372.82,,,
2465_T3,04-Jul-97,E043,E850,S125,257.86,,,
3235_T3,26-May-98,D043,E850,S125,377.19,,,
3168_T3,28-Apr-98,F053,E850,S125,399.41,,,
865_T3,10-Feb-93,D043,E875,S125,210.97,,,
4280_T3,12-Jul-99,E043,E875,S125,337.91,,,
3557_T3,03-Sep-98,E051,E000,S150,284.25,,,
1868_T3,11-Jul-96,F061,E000,S150,276.59,,,
642_T3_06,29-Jul-06,F071,E000,S150,239.99,,,
3588_T3,10-Sep-98,E051,E025,S150,292.99,,,
854_T3,30-Jan-93,D051,E025,S150,186.25,,,
3616_T3,16-Sep-98,E051,E050,S150,456.22,,,
587_T3_06,27-Jun-06,F061,E050,S150,249.58,,,
851_T3,28-Jan-93,D051,E050,S150,193.56,,,
2926_T3,03-Nov-97,E051,E075,S150,251.62,,,
5697_T3,14-Jul-00,F061,E075,S150,121.65,,,
848_T3,25-Jan-93,D051,E075,S150,215.56,,,
4790_T3,09-Nov-99,F061,E100,S150,193.57,,,
2938_T3,11-Nov-97,E051,E100,S150,169.68,,,
3216_T3,21-May-98,D051,E100,S150,415.87,,,
4400_T3,09-Aug-99,F051,E125,S150,215.55,,,
3215_T3,21-May-98,D051,E125,S150,398.95,,,
2279_T3,23-Jan-97,E051,E125,S150,219.47,,,
4778_T3,29-Oct-99,F061,E125,S150,165.5,,,
4789_T3,05-Nov-99,F061,E150,S150,171.22,,,
4406_T3,10-Aug-99,F051,E150,S150,206.33,,,
3779_T3,18-Nov-98,D051,E150,S150,467.36,,,
451_T3_06,21-Mar-06,C051,E150,S150,342.91,,,
2291_T3,25-Jan-97,E051,E150,S150,231.56,,,
3961_T3,08-Apr-99,F051,E175,S150,488.85,,,
5759_T3,20-Jul-00,F061,E175,S150,106.66,,,
2266_T3,21-Jan-97,E051,E175,S150,222.49,,,
3639_T3,23-Sep-98,D051,E175,S150,432.79,,,
5760_T3,04-Aug-00,F061,E200,S150,100.84,,,
449_T3_06,18-Mar-06,C051,E200,S150,316.64,,,
2259_T3,21-Jan-97,E051,E200,S150,220.29,,,
3986_T3,26-Apr-99,F051,E200,S150,472.37,,,
3654_T3,28-Sep-98,D051,E200,S150,435.18,,,
2269_T3,01-Feb-97,E051,E225,S150,216.85,,,
4011_T3,05-May-99,F051,E225,S150,440.42,,,
3379_T3,14-Jul-98,F061,E225,S150,352.72,,,
3624_T3,21-Sep-98,D051,E225,S150,427.59,,,
3376_T3,14-Jul-98,F061,E250,S150,307.84,,,
3939_T3,19-Mar-99,F051,E250,S150,489,,,
460_T3_06,25-Mar-06,C051,E250,S150,349.11,,,
2012_T3,29-Aug-96,E051,E250,S150,238.75,,,
3957_T3,07-Apr-99,F051,E275,S150,481.21,,,
3377_T3,14-Jul-98,F061,E275,S150,310.19,,,
2298_T3,22-May-97,E051,E275,S150,217.51,,,
3575_T3,08-Sep-98,F052,E300,S150,304.16,,,
3378_T3,14-Jul-98,F062,E300,S150,342.94,,,
457_T3_06,23-Mar-06,C052,E300,S150,344.78,,,
2000_T3,26-Aug-96,E052,E300,S150,259.93,,,
3580_T3,08-Sep-98,F052,E325,S150,240.99,,,
2300_T3,10-Feb-97,E052,E325,S150,221.19,,,
3387_T3,16-Jul-98,F062,E325,S150,331.4,,,
3584_T3,10-Sep-98,F052,E350,S150,304.03,,,
6575_T3,18-Apr-01,F062,E350,S150,110.15,,,
1997_T3,24-Aug-96,E052,E350,S150,227.35,,,
459_T3_06,24-Mar-06,C052,E350,S150,362.39,,,
6563_T3,18-Apr-01,F062,E375,S150,125.36,,,
3050_T3,25-Feb-98,F052,E375,S150,396.38,,,
2336_T3,30-May-97,E052,E375,S150,219.94,,,
3074_T3,16-Mar-98,F052,E400,S150,406.14,,,
6562_T3,17-Apr-01,F062,E400,S150,142.17,,,
3713_T3,23-Oct-98,E052,E400,S150,475.62,,,
462_T3_06,27-Mar-06,C052,E400,S150,360.07,,,
3092_T3,24-Mar-98,F052,E425,S150,447.81,,,
